x, y, error
0, -1.152, 0
0.301029996, -1.5408, 0
0.477121255, -1.674, 0
0.77815125, -1.47744, 0
1, -2.1312, 0
1.255272505, -3.24, 0
1.505149978, -5.5296, 0
1.748188027, -9.35424, 0
2, -16.128, 0
2.255272505, -27.4752, 0
2.505149978, -42.624, 0
2.748188027, -55.6416, 0
3, -73.08, 0
3.255272505, -82.6848, 0
3.505149978, -89.1648, 0
3.748188027, -86.2848, 0
4, -87.84, 0
