x, y, error
0, 0.1357, 0.47013
0.301029996, 0.0842, 0.4156
0.477121255, 0, 0.47124
0.77815125, -0.1166, 0.44946
1, -0.1031, 0.44477
1.255272505, -0.1093, 0.44195
1.505149978, -0.1576, 0.44093
1.748188027, -0.2145, 0.43989
2, -0.4356, 0.44275
2.255272505, -1.1598, 0.44918
2.505149978, -2.7586, 0.46369
2.748188027, -5.5862, 0.49555
3, -9.8391, 0.44131
3.255272505, -14.5771, 0.46516
3.505149978, -19.467, 0.4393
3.748188027, -24.2384, 0.43221
4, -29.2051, 0.42697
